class,tweet,cleaned_text
1,"Ppl really can't handle a girl that's not a ""yes girl"" and says how she feel .. come off as a bitch","['ppl', 'really', 'can', 'handle', 'girl', 'that', 'not', 'yes', 'girl', 'and', 'says', 'how', 'she', 'feel', 'come', 'off', 'as', 'bitch']"
0,These birds messy.,"['these', 'birds', 'messy']"
0,RT @vexedmentals: draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati&#8230;,"['draya', 'really', 'out', 'catching', 'tan', 'while', 'her', 'son', 'looking', 'out', 'the', 'window', 'like', 'the', 'ikea', 'monkey', 'while', 'everybody', 'trick', 'or', 'treati']"
1,The question alone &#128553;&#128514;&#128514;RT @KfromtheG: What city got the most bitches with gold teeth?,"['what', 'city', 'got', 'the', 'most', 'bitches', 'with', 'gold', 'teeth']"
1,&#8220;@KyariesDa4: Ginobli dropping them bitches like a Delta line&#8221;. &#128514;&#128514;&#128553;&#9996;&#65039;,"['ginobli', 'dropping', 'them', 'bitches', 'like', 'delta', 'line']"
1,"Im a rich niggaaaaa, i need a rich bitch.","['im', 'rich', 'niggaaaaa', 'need', 'rich', 'bitch']"
1,@GorgeousCamry_ fight or nah dumb bitch &#128530;,"['fight', 'or', 'nah', 'dumb', 'bitch']"
0,@CCobey @tess_stepakoff there isn't a green one either. There's red and yellow in that pic...,"['there', 'isn', 'green', 'one', 'either', 'there', 'red', 'and', 'yellow', 'in', 'that', 'pic']"
1,@marclamonthill all #nfl stadiums play music by jay-z a former drug dealer whose diaphragm wouldnt work w/o saying nigger in every song,"['all', 'nfl', 'stadiums', 'play', 'music', 'by', 'jay', 'former', 'drug', 'dealer', 'whose', 'diaphragm', 'wouldnt', 'work', 'saying', 'nigger', 'in', 'every', 'song']"
0,Houston has so many trash drivers,"['houston', 'has', 'so', 'many', 'trash', 'drivers']"
1,These hoes is lost RT @Dkellz34: @1Bcarter hahaha how much you wanna bet she don't get the job lmao,"['hahaha', 'how', 'much', 'you', 'wanna', 'bet', 'she', 'don', 'get', 'the', 'job', 'lmao']"
0,@gabby_moscato @Huntermoore They would make a great baby bird pic bruh!,"['they', 'would', 'make', 'great', 'baby', 'bird', 'pic', 'bruh']"
0,this movie is actually good cuz its so retarded,"['this', 'movie', 'is', 'actually', 'good', 'cuz', 'its', 'so', 'retarded']"
1,"One night stand y'all hoes, y'all ain't nothing more!","['one', 'night', 'stand', 'all', 'hoes', 'all', 'ain', 'nothing', 'more']"
0,"@FletcherMassie @TelcoAg @rcb05 Go back to mutt, Rev I style. Of course, that would necessitate running over a dog and adopting it.","['go', 'back', 'to', 'mutt', 'rev', 'style', 'of', 'course', 'that', 'would', 'necessitate', 'running', 'over', 'dog', 'and', 'adopting', 'it']"
1,RT @AZEALIABANKS: Ladies its a full moon. Which means pussy power is in full effect.. yall better get some dick tonnnnniiiiiiggggghhht!!!,"['ladies', 'its', 'full', 'moon', 'which', 'means', 'pussy', 'power', 'is', 'in', 'full', 'effect', 'yall', 'better', 'get', 'some', 'dick']"
0,I am currently using a yellow marker that is literally called 'Spanish Orange' for this drawing of @Wikiparaz ; absolute perfection.,"['am', 'currently', 'using', 'yellow', 'marker', 'that', 'is', 'literally', 'called', 'spanish', 'orange', 'for', 'this', 'drawing', 'of', 'absolute', 'perfection']"
1,"RT @_ShesSuchADoll: ; straight &#128686; ""@DrewWhosUrDaddy: To each his own @wizkhalifa but these hoes weak http://t.co/W7TEj28aNr""","['straight', 'to', 'each', 'his', 'own', 'but', 'these', 'hoes', 'weak', 'http', 'co', 'tej', 'anr']"
0,What if I talked ghetto lol I'd be so annoyed of my self,"['what', 'if', 'talked', 'ghetto', 'lol', 'be', 'so', 'annoyed', 'of', 'my', 'self']"
0,"RT @_pascuzzo: ""@Salon: Meanwhile in Texas: 19-year-old man facing 5 years to life in prison for $25 worth of pot brownies http://t.co/438F&#8230;","['meanwhile', 'in', 'texas', 'year', 'old', 'man', 'facing', 'years', 'to', 'life', 'in', 'prison', 'for', 'worth', 'of', 'pot', 'brownies', 'http', 'co']"
1,"It already Soaked, Sinked, &amp; Melted so dropped that's shit bitch IDGAF linc up or get caught &#128175;","['it', 'already', 'soaked', 'sinked', 'amp', 'melted', 'so', 'dropped', 'that', 'shit', 'bitch', 'idgaf', 'linc', 'up', 'or', 'get', 'caught']"
0,@ToddIrwin1 NFL... Forgetabout they got until February. It's the pennant race. Let's Go Yanks.,"['nfl', 'forgetabout', 'they', 'got', 'until', 'february', 'it', 'the', 'pennant', 'race', 'let', 'go', 'yanks']"
1,RT @absoulxo: in a relationship there's gonna be bitches badder than yours or niggas doing better than your nigga. that's where the loyalty&#8230;,"['in', 'relationship', 'there', 'gonna', 'be', 'bitches', 'badder', 'than', 'yours', 'or', 'niggas', 'doing', 'better', 'than', 'your', 'nigga', 'that', 'where', 'the', 'loyalty']"
1,@kieffer_jason How u going to talk shit from another state that's dat pussy shit,"['how', 'going', 'to', 'talk', 'shit', 'from', 'another', 'state', 'that', 'dat', 'pussy', 'shit']"
1,@sbsylvester how could I be a fag? But I like bitches please tell me,"['how', 'could', 'be', 'fag', 'but', 'like', 'bitches', 'please', 'tell', 'me']"
0,b/c she likes black men and rap music? Huh lol RT @Magssca: @WaymoTheGod in general she wants to be colored,"['in', 'general', 'she', 'wants', 'to', 'be', 'colored']"
0,22 talented drivers RT @garrisonstudio: I am really glad there haven't been any yellows. But why haven't there been any yellows??,"['am', 'really', 'glad', 'there', 'haven', 'been', 'any', 'yellows', 'but', 'why', 'haven', 'there', 'been', 'any', 'yellows']"
0,"Dear God, forgive us for a moral slope of values. Shacking is just a pretty word for perpetual fornication. Let's... http://t.co/h0URrTNDfZ","['co', 'urrtndfz']"
0,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/dyYvrEJAm3,"['co', 'dyyvrejam']"
0,Lol.. shut up! RT @ABrown252: @VonshayeB lmao early bird gets the worm,"['lmao', 'early', 'bird', 'gets', 'the', 'worm']"
1,RT @MadeaDonPlay: Call da po po hoe.,"['call', 'da', 'po', 'po', 'hoe']"
1,It aint nuttin to cut that bitch off......thats why that shit my ring tone &#9995;,"['it', 'aint', 'nuttin', 'to', 'cut', 'that', 'bitch', 'off', 'thats', 'why', 'that', 'shit', 'my', 'ring', 'tone']"
0,only my school wouldnt give kids their schedules... #ghetto,"['only', 'my', 'school', 'wouldnt', 'give', 'kids', 'their', 'schedules', 'ghetto']"
1,@0hallis0n bitch caught a body about a week ago. Everybody catching bullet holes.,"['bitch', 'caught', 'body', 'about', 'week', 'ago', 'everybody', 'catching', 'bullet', 'holes']"
1,"Oh ""@SoNi99a_: i hope Dre falls dickhole first into my pussy ""","['hope', 'dre', 'falls', 'dickhole', 'first', 'into', 'my', 'pussy']"
1,"Once again...HELLO HARDIN COUNTY 
""@TheDrunkStory: ""Everyone knows a hoe named Ashley"" - HSN""","['once', 'again', 'hello', 'hardin', 'county', 'everyone', 'knows', 'hoe', 'named', 'ashley', 'hsn']"
0,@Pepper_Redbone @Yankees @Mets Oh yeah. And the annoying damn duck calls?? They outta be banned. Duck horns??,"['oh', 'yeah', 'and', 'the', 'annoying', 'damn', 'duck', 'calls', 'they', 'outta', 'be', 'banned', 'duck', 'horns']"
1,RT @CraziestSex: Eat her pussy and look at her like &#128540;&#128541;&#128514; http://t.co/mIgiYMGRJt,"['eat', 'her', 'pussy', 'and', 'look', 'at', 'her', 'like', 'http', 'co', 'migiymgrjt']"
0,This bro is just rippin apart a bird about 10 feet from us.. #redtail #hawk http://t.co/tjAnr2pB,"['co', 'tjanr', 'pb']"
0,@MissStef0318 @_MariaPetrova teabaggers weakening food and environmental regulations is infinitely more scary and lethal than terrorism.,"['teabaggers', 'weakening', 'food', 'and', 'environmental', 'regulations', 'is', 'infinitely', 'more', 'scary', 'and', 'lethal', 'than', 'terrorism']"
1,@Tcrawford20 he's trash,"['he', 'trash']"
0,@SalaciousSully hopefully not back in da ghetto?,"['hopefully', 'not', 'back', 'in', 'da', 'ghetto']"
1,Anytime somebody say u wan hear a funny that shit gon be trash..,"['anytime', 'somebody', 'say', 'wan', 'hear', 'funny', 'that', 'shit', 'gon', 'be', 'trash']"
1,RT @younngmel: Fuck half the bitches at Mount Rainier &#58386;&#58386; i only fucks wit a few,"['fuck', 'half', 'the', 'bitches', 'at', 'mount', 'rainier', 'only', 'fucks', 'wit', 'few']"
1,Citi field bitches http://t.co/gHxXmb3M,"['co', 'ghxxmb']"
1,RT @FeelinMarvelous: Niggas want a virgin porn star and bitches want a dangerous safe nigga.,"['niggas', 'want', 'virgin', 'porn', 'star', 'and', 'bitches', 'want', 'dangerous', 'safe', 'nigga']"
0,"RT @ESPNNFL: For the 1st time in the Tom Brady era, the Patriots are in sole possession of last place in the AFC East http://t.co/zMkwGNzOCT","['for', 'the', 'st', 'time', 'in', 'the', 'tom', 'brady', 'era', 'the', 'patriots', 'are', 'in', 'sole', 'possession', 'of', 'last', 'place', 'in', 'the', 'afc', 'east', 'http', 'co', 'zmkwgnzoct']"
0,stupid teacher talks to @RandyMower like he's retarded,"['stupid', 'teacher', 'talks', 'to', 'like', 'he', 'retarded']"
1,Grow up bitch,"['grow', 'up', 'bitch']"
0,Watched some crows eat a sandwich,"['watched', 'some', 'crows', 'eat', 'sandwich']"
0,"@grinand BTW, Happy Birthday, Charlie! Get better soon!","['btw', 'happy', 'birthday', 'charlie', 'get', 'better', 'soon']"
1,RT @Rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra,"['just', 'show', 'im', 'not', 'playing', 'in', 'this', 'bitch', 'one', 'false', 'move', 'ima', 'spraying', 'in', 'this', 'bitch']"
1,"&#8220;@OGeezLouise: Bout time 
 RT @JoeBudden: Some of these chicks don&#8217;t want a man, they just want support.&#8221; Tell that bitch to get a bra","['bout', 'time', 'rt', 'some', 'of', 'these', 'chicks', 'don', 'want', 'man', 'they', 'just', 'want', 'support', 'tell', 'that', 'bitch', 'to', 'get', 'bra']"
0,"&#8220;@El_Grillo1: Islamic State suspects in Indonesia are Chinese Uighurs http://t.co/58IDicaHzT&#8221;
Uighur Jihadis: they're not just a PRC tool.","['islamic', 'state', 'suspects', 'in', 'indonesia', 'are', 'chinese', 'uighurs', 'http', 'co', 'idicahzt', 'uighur', 'jihadis', 'they', 're', 'not', 'just', 'prc', 'tool']"
1,"RT @MiSSKathEVO: #NoFilter I been getting money I ain't worried 'bout a ho, No matter the occasion I'ma always get the dough &#128539; http://t.co/&#8230;","['nofilter', 'been', 'getting', 'money', 'ain', 'worried', 'bout', 'ho', 'no', 'matter', 'the', 'occasion', 'ma', 'always', 'get', 'the', 'dough', 'http', 'co']"
1,&#8220;@girlideas: why do bitches stand like this? &#128563;&#128541; http://t.co/QQ9vQyLru1&#8221; she wanted to be in MJ's smooth criminal video so bad..,"['why', 'do', 'bitches', 'stand', 'like', 'this', 'http', 'co', 'qq', 'vqylru', 'she', 'wanted', 'to', 'be', 'in', 'mj', 'smooth', 'criminal', 'video', 'so', 'bad']"
0,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao","['why', 'the', 'eggplant', 'emoji', 'doe', 'he', 'say', 'she', 'looked', 'like', 'scream', 'lmao']"
0,Thou shall not mock Ryan(the future)Kelly,"['thou', 'shall', 'not', 'mock', 'ryan', 'the', 'future', 'kelly']"
0,"RT @SethMacFarlane: And thus endeth our warm, fuzzy holiday lesson: Never take those you love for granted, for they can be gone in a flash.","['and', 'thus', 'endeth', 'our', 'warm', 'fuzzy', 'holiday', 'lesson', 'never', 'take', 'those', 'you', 'love', 'for', 'granted', 'for', 'they', 'can', 'be', 'gone', 'in', 'flash']"
1,When niggas say they like Latinas they don't mean you fat bitches that smell like fajitas,"['when', 'niggas', 'say', 'they', 'like', 'latinas', 'they', 'don', 'mean', 'you', 'fat', 'bitches', 'that', 'smell', 'like', 'fajitas']"
1,"RT @JETzLyfe412: Started off wit nuttin I was hungry, now I got a couple niggas bitches who want me","['started', 'off', 'wit', 'nuttin', 'was', 'hungry', 'now', 'got', 'couple', 'niggas', 'bitches', 'who', 'want', 'me']"
0,@DaRealAlexInLA @Buckm00se he wasn't training gook boy doe,"['he', 'wasn', 'training', 'gook', 'boy', 'doe']"
1,&#8220;@LeggsMania: @PhenomenalRo you not gone leave hoe&#8221;&#128514;&#128514;&#128546;,"['you', 'not', 'gone', 'leave', 'hoe']"
1,"I got .05"" of rain yesterday including the bird shit in my gauge.","['got', 'of', 'rain', 'yesterday', 'including', 'the', 'bird', 'shit', 'in', 'my', 'gauge']"
0,Stafford trash without Megatron #fantasyfootballproblems,"['stafford', 'trash', 'without', 'megatron']"
1,I just seen the ugliest bitch in commercial history on Monday night football,"['just', 'seen', 'the', 'ugliest', 'bitch', 'in', 'commercial', 'history', 'on', 'monday', 'night', 'football']"
0,"Sitting on the deck, enjoying a #StoneIPA, watching/smelling the neighbors burn trash. #Missouri http://t.co/VlnhyAhaEW","['co', 'vlnhyahaew']"
0,RT @NewYorkologist: Autographed Photo of Babe Ruth and Lou Gehrig - New York Yankees 1928 | #NYC #NY #NYY http://t.co/mm2niIGP9X,"['autographed', 'photo', 'of', 'babe', 'ruth', 'and', 'lou', 'gehrig', 'new', 'york', 'yankees', 'nyc', 'ny', 'nyy', 'http', 'co', 'mm', 'niigp']"
1,Fly nicca no parachute,"['fly', 'nicca', 'no', 'parachute']"
0,5SOS is trash,"['sos', 'is', 'trash']"
0,RT @Woody_AFC: @_WhitePonyJr_ @ivanrabago_ no doubt about it. I mean its cute tossing around trash cans and having 98lb Mexican boys wantin&#8230;,"['no', 'doubt', 'about', 'it', 'mean', 'its', 'cute', 'tossing', 'around', 'trash', 'cans', 'and', 'having', 'lb', 'mexican', 'boys', 'wantin']"
0,&#8220;@RaleighBeougher: dumb beaner&#8221; http://t.co/r0hABEQhSu,"['dumb', 'beaner', 'http', 'co', 'habeqhsu']"
1,When its hot i wear whatever lol shit if could come out this bitch in briefs i would,"['when', 'its', 'hot', 'wear', 'whatever', 'lol', 'shit', 'if', 'could', 'come', 'out', 'this', 'bitch', 'in', 'briefs', 'would']"
1,"RT @HYPEBEASTAUSTIN: love one of you bucket headed hoes 

noway.","['love', 'one', 'of', 'you', 'bucket', 'headed', 'hoes', 'noway']"
1,' Got niggahs salty at meeeee cause yo dream bitch is ma main slide &#1041204;&#1041223;&#1041196;,"['got', 'niggahs', 'salty', 'at', 'meeeee', 'cause', 'yo', 'dream', 'bitch', 'is', 'ma', 'main', 'slide']"
1,RT @Fitcchh: White girls that talk ghetto&lt;&lt;&lt; you're not cute&#128514;,"['white', 'girls', 'that', 'talk', 'ghetto', 'lt', 'lt', 'lt', 'you', 're', 'not', 'cute']"
1,' I will never date a female with another niggah name on her lol . Wtf .,"['will', 'never', 'date', 'female', 'with', 'another', 'niggah', 'name', 'on', 'her', 'lol', 'wtf']"
0,"I didnt buy any alcohol this weekend, and only bought 20 fags. Proud that I still have 40 quid tbh","['didnt', 'buy', 'any', 'alcohol', 'this', 'weekend', 'and', 'only', 'bought', 'fags', 'proud', 'that', 'still', 'have', 'quid', 'tbh']"
1,"RT @KayciMalynn: @__0utcast___ hey cunt, I miss you too &#128532;","['hey', 'cunt', 'miss', 'you', 'too']"
1,RT @taylorlopez96: &#8220;@harleighpurolla: You are the biggest two faced bitch I have ever met.&#8221; You won't @ her,"['you', 'are', 'the', 'biggest', 'two', 'faced', 'bitch', 'have', 'ever', 'met', 'you', 'won', 'her']"
0,"RT @alicia_garcia3: ""That's why God made brownies. To replace boys.""","['that', 'why', 'god', 'made', 'brownies', 'to', 'replace', 'boys']"
0,@Willstreakk @Tycff10111 according to you my place is in kitchen. Excuse me while I take out the trash,"['according', 'to', 'you', 'my', 'place', 'is', 'in', 'kitchen', 'excuse', 'me', 'while', 'take', 'out', 'the', 'trash']"
1,pull out my bank roll on y'all bitches like whoa,"['pull', 'out', 'my', 'bank', 'roll', 'on', 'all', 'bitches', 'like', 'whoa']"
1,@_InhaleLove_ bitches love some Alex from target &#128527;,"['bitches', 'love', 'some', 'alex', 'from', 'target']"
1,"i'm sorry but if you don't eat seafood solely by the fact that it's from the ocean, you are seriously an unrespectable pussy.","['sorry', 'but', 'if', 'you', 'don', 'eat', 'seafood', 'solely', 'by', 'the', 'fact', 'that', 'it', 'from', 'the', 'ocean', 'you', 'are', 'seriously', 'an', 'unrespectable', 'pussy']"
1,"RT @itsTylerStarr: If we date&#128143;&#10084;&#65039;
Get rid of ya Ex's 
&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;

I'll get rid of my hoes
&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;

We don't need NO interference 
&#128525;&#128145;&#128107;&#128141;&#128141;&#128149;&#128175;","['if', 'we', 'date', 'get', 'rid', 'of', 'ya', 'ex', 'll', 'get', 'rid', 'of', 'my', 'hoes', 'we', 'don', 'need', 'no', 'interference']"
0,Memorial Weekend early bird wine walk price is still available! We have 21 participating locations http://t.co/bBYoTneeBn,"['co', 'bbyotneebn']"
0,"Only Blood Can Satisfy The Hungry Flames Of R&#8217;hollor, Charlie Brown","['only', 'blood', 'can', 'satisfy', 'the', 'hungry', 'flames', 'of', 'hollor', 'charlie', 'brown']"
1,RT @ObieOneHHH: If I was a top tier MC I would publicly announce that the point of my tour is to have sex w/the baddest bitches of each cit&#8230;,"['if', 'was', 'top', 'tier', 'mc', 'would', 'publicly', 'announce', 'that', 'the', 'point', 'of', 'my', 'tour', 'is', 'to', 'have', 'sex', 'the', 'baddest', 'bitches', 'of', 'each', 'cit']"
0,"@MrFayoh Im a proud wacko bird, how bout you?","['im', 'proud', 'wacko', 'bird', 'how', 'bout', 'you']"
0,Igot to level 21 so far on flappy birds smh,"['igot', 'to', 'level', 'so', 'far', 'on', 'flappy', 'birds', 'smh']"
0,RT @NerdistDotCom: Forget your typical graduation speech. Charlie Day manages to be hilarious AND inspirational in today&#8217;s MIFVOTD: http://&#8230;,"['forget', 'your', 'typical', 'graduation', 'speech', 'charlie', 'day', 'manages', 'to', 'be', 'hilarious', 'and', 'inspirational', 'in', 'today', 'mifvotd', 'http']"
1,Just saw a lady that looks like honey boo boos mom. Goddamn that bitch is ugly.,"['just', 'saw', 'lady', 'that', 'looks', 'like', 'honey', 'boo', 'boos', 'mom', 'goddamn', 'that', 'bitch', 'is', 'ugly']"
0,@Torn_Rose republican teabaggers should be jailed for treason.....,"['republican', 'teabaggers', 'should', 'be', 'jailed', 'for', 'treason']"
1,Can my school please fuckin remove these random ass trash cans in the middle of the hallway that I always fuckin run into,"['can', 'my', 'school', 'please', 'fuckin', 'remove', 'these', 'random', 'ass', 'trash', 'cans', 'in', 'the', 'middle', 'of', 'the', 'hallway', 'that', 'always', 'fuckin', 'run', 'into']"
1,If you sweat pussy it's somethin new to you..,"['if', 'you', 'sweat', 'pussy', 'it', 'somethin', 'new', 'to', 'you']"
0,this show trash RT @IbSkeeAlii: #LongLive RT @ShinyLipz: Queen Latifah show.... &#128564;&#128564;&#128564;&#128564;,"['longlive', 'rt', 'queen', 'latifah', 'show']"
0,Someone come take these brownies away from me before I eat the whole pan!,"['someone', 'come', 'take', 'these', 'brownies', 'away', 'from', 'me', 'before', 'eat', 'the', 'whole', 'pan']"
0,Too bad Brandon Lavergne isn't gonna have that vein spiked at Angola. #mickey,"['too', 'bad', 'brandon', 'lavergne', 'isn', 'gonna', 'have', 'that', 'vein', 'spiked', 'at', 'angola', 'mickey']"
1,&#8220;@NotGrimey Dnt blame niggas when a female see ya hoe ass ways. Go listen to some JT Money fruitcake&#8221;,"['dnt', 'blame', 'niggas', 'when', 'female', 'see', 'ya', 'hoe', 'ass', 'ways', 'go', 'listen', 'to', 'some', 'jt', 'money', 'fruitcake']"
0,"@paolo Like...Charlie Chan-style? (Never saw that, either.) Hmm...makes me think of the ""Cockneys"" in the Killzone series.","['like', 'charlie', 'chan', 'style', 'never', 'saw', 'that', 'either', 'hmm', 'makes', 'me', 'think', 'of', 'the', 'cockneys', 'in', 'the', 'killzone', 'series']"
1,@JerGucci my luck the bitch gonna drug me an I won't even kno what happened lmao,"['my', 'luck', 'the', 'bitch', 'gonna', 'drug', 'me', 'an', 'won', 'even', 'kno', 'what', 'happened', 'lmao']"
1,RT @whiteboytatted: Shout out to all you girls that wear those holy cross leggings but got a pussy thats full of sin,"['shout', 'out', 'to', 'all', 'you', 'girls', 'that', 'wear', 'those', 'holy', 'cross', 'leggings', 'but', 'got', 'pussy', 'thats', 'full', 'of', 'sin']"
0,"@eGoTheIcoN those ""trash"" SnD stars would scrape ur team in SnD and most pro teams.","['those', 'trash', 'snd', 'stars', 'would', 'scrape', 'ur', 'team', 'in', 'snd', 'and', 'most', 'pro', 'teams']"
0,That long hair doesn't cover up your redneck,"['that', 'long', 'hair', 'doesn', 'cover', 'up', 'your', 'redneck']"
1,Sometimes I feel like being really nice to everyone then I'm just like wait you're all bitches anyway soooo,"['sometimes', 'feel', 'like', 'being', 'really', 'nice', 'to', 'everyone', 'then', 'just', 'like', 'wait', 'you', 're', 'all', 'bitches', 'anyway', 'soooo']"
0,"Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? 
} Not going to happen Berg
Bleat on.
#mngop proud #stribpol #mnleg","['when', 'will', 'dfl', 'dump', 'ryan', 'uncle', 'tom', 'winkler', 'not', 'going', 'to', 'happen', 'berg', 'bleat', 'on', 'mngop', 'proud', 'stribpol', 'mnleg']"
1,Let a niggah try me,"['let', 'niggah', 'try', 'me']"
0,RT @southernshirt: The only things you need in life are comfy shirts and Oreos #southernshirt,"['the', 'only', 'things', 'you', 'need', 'in', 'life', 'are', 'comfy', 'shirts', 'and', 'oreos', 'southernshirt']"
1,"Mary Jane is a dumb bitch
Peter has a job saving the city as Spiderman and she's bitching about how he hasn't came to her play","['mary', 'jane', 'is', 'dumb', 'bitch', 'peter', 'has', 'job', 'saving', 'the', 'city', 'as', 'spiderman', 'and', 'she', 'bitching', 'about', 'how', 'he', 'hasn', 'came', 'to', 'her', 'play']"
0,Let the jig commence http://t.co/pqvJiEvqZa,"['co', 'pqvjievqza']"
1,&#128073;RT @Str8_no_Chazer: Bet y'all bitches was deaf to MC Lyte's words about being treated like a queen huh,"['bet', 'all', 'bitches', 'was', 'deaf', 'to', 'mc', 'lyte', 'words', 'about', 'being', 'treated', 'like', 'queen', 'huh']"
0,@BeattyJustin @KYOppCoalition I am one proud hillbilly.,"['am', 'one', 'proud', 'hillbilly']"
1,#xfactorau sick of guys who sing like pussies. Where are the rock type men?,"['xfactorau', 'sick', 'of', 'guys', 'who', 'sing', 'like', 'pussies', 'where', 'are', 'the', 'rock', 'type', 'men']"
0,&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;,"['my', 'nerves', 'are', 'being', 'worked', 'cos', 'of', 'my', 'monkey']"
0,"Charlie Crist Losing 50,000 Florida Jobs To Raise Minimum Wage Is &#8216;Worth It&#8217; - Conservative Byte http://t.co/y3JYJ2Yf4L via @conservativebyt","['co', 'jyj', 'yf', 'via']"
1,If a chick wants me to eat her pussy then leave I'll accept gladly. Lol,"['if', 'chick', 'wants', 'me', 'to', 'eat', 'her', 'pussy', 'then', 'leave', 'll', 'accept', 'gladly', 'lol']"
1,@wright_ontarget &#128514; you look like a bitch nigga to me,"['you', 'look', 'like', 'bitch', 'nigga', 'to', 'me']"
1,RT @wizkhalifa: Currently taking over ur bitches brain with my creativity and wierdness.,"['currently', 'taking', 'over', 'ur', 'bitches', 'brain', 'with', 'my', 'creativity', 'and', 'wierdness']"
0,"Dis nicca @DB_Scooch went in on dat ""I Keep tryin""","['dis', 'nicca', 'went', 'in', 'on', 'dat', 'keep', 'tryin']"
1,"My expectations are high when it comes to anything. My weed my pussy my food,my clothes n kicks, people. that shit needa be a1 to me","['my', 'expectations', 'are', 'high', 'when', 'it', 'comes', 'to', 'anything', 'my', 'weed', 'my', 'pussy', 'my', 'food', 'my', 'clothes', 'kicks', 'people', 'that', 'shit', 'needa', 'be', 'to', 'me']"
0,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it","['http', 'co', 'byj', 'hoyhmg', 'this', 'scally', 'lad', 'would', 'get', 'it']"
1,RT @longbongchris: &#8220;@WORIDSTARHlPHOP: White twitter when they get in an argument https://t.co/u4dfp2XJ9B&#8221; i wouldve bitch slapped her into &#8230;,"['white', 'twitter', 'when', 'they', 'get', 'in', 'an', 'argument', 'https', 'co', 'dfp', 'xj', 'wouldve', 'bitch', 'slapped', 'her', 'into']"
1,RT @kid_nipsey_400: bitch what you thought ? &#128514;,"['bitch', 'what', 'you', 'thought']"
0,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!","['lol', 'my', 'credit', 'ain', 'no', 'where', 'near', 'good', 'but', 'know', 'the', 'right', 'man', 'for', 'the', 'job', 'that', 'ho', 'nice', 'though']"
0,"RT @RussOnPolitics: GOP nominee for #MAgov Charlie Baker's ""fisherman story"" falls apart. He deserves an Oscar for his play crying. http://&#8230;","['gop', 'nominee', 'for', 'magov', 'charlie', 'baker', 'fisherman', 'story', 'falls', 'apart', 'he', 'deserves', 'an', 'oscar', 'for', 'his', 'play', 'crying', 'http']"
